ID;River;Station;ix1;iy1;ix2;iy2;minRMSE(open-loop);minBias(open-loop);minNSE(open-loop);minKGE(open-loop);minCC(open-loop);minBR(open-loop);minRV(open-loop);minKGED(open-loop);meanRMSE(open-loop);meanBias(open-loop);meanNSE(open-loop);meanKGE(open-loop);meanCC(open-loop);meanBR(open-loop);meanRV(open-loop);meanKGED(open-loop);maxRMSE(open-loop);maxBias(open-loop);maxNSE(open-loop);maxKGE(open-loop);maxCC(open-loop);maxBR(open-loop);maxRV(open-loop);maxKGED(open-loop);VS_count
4115300;OKANOGAN;NEAR TONASKET, WA;106;64;-9999;-9999;1.9773988007104806;1.8499971147016367;-663773.4488568808;-0.4142235960710867;-2.2200843640297008e-14;1.0053272586152875;8.097173596971622e-14;-0.4142135623730536;3.493557353693303;3.42549877097386;-455545.7959108;-0.39927878715279275;0.013129570886230168;1.01305108799693;0.008121532510152001;-0.39919582280300614;5.009715906676126;5.001000427246083;-247318.14296471915;-0.3843339782344988;0.026259141772482536;1.0207749173785725;0.01624306502022303;-0.38417808323295866;2
4115301;OKANOGAN;MALOTT, WA;103;67;-9999;-9999;1.9773988007104806;1.8499971147016367;-663773.4488568808;-0.4142235960710867;-2.2200843640297008e-14;1.0053272586152875;8.097173596971622e-14;-0.4142135623730536;3.493557353693303;3.42549877097386;-455545.7959108;-0.39927878715279275;0.013129570886230168;1.01305108799693;0.008121532510152001;-0.39919582280300614;5.009715906676126;5.001000427246083;-247318.14296471915;-0.3843339782344988;0.026259141772482536;1.0207749173785725;0.01624306502022303;-0.38417808323295866;2
4115305;SIMILKAMEEN;NEAR NIGHTHAWK, WA;104;61;-9999;-9999;1.9773988007104806;1.8499971147016367;-663773.4488568808;-0.4142235960710867;-2.2200843640297008e-14;1.0053272586152875;8.097173596971622e-14;-0.4142135623730536;3.493557353693303;3.42549877097386;-455545.7959108;-0.39927878715279275;0.013129570886230168;1.01305108799693;0.008121532510152001;-0.39919582280300614;5.009715906676126;5.001000427246083;-247318.14296471915;-0.3843339782344988;0.026259141772482536;1.0207749173785725;0.01624306502022303;-0.38417808323295866;2
4115310;KETTLE;NEAR FERRY, WA;113;61;-9999;-9999;0.8975546947906298;0.4772742808947896;-472287.2702504532;-0.0665714110857365;0.6137292070711209;1.0009103675975044;0.0058326998405392756;-0.06657102256542502;0.8975546947906298;0.4772742808947896;-472287.2702504532;-0.0665714110857365;0.6137292070711209;1.0009103675975044;0.0058326998405392756;-0.06657102256542502;0.8975546947906298;0.4772742808947896;-472287.2702504532;-0.0665714110857365;0.6137292070711209;1.0009103675975044;0.0058326998405392756;-0.06657102256542502;1
4115311;KETTLE;NEAR LAURIER, WA;118;61;-9999;-9999;0.8975546947906298;0.4772742808947896;-472287.2702504532;-0.0665714110857365;0.6137292070711209;1.0009103675975044;0.0058326998405392756;-0.06657102256542502;0.8975546947906298;0.4772742808947896;-472287.2702504532;-0.0665714110857365;0.6137292070711209;1.0009103675975044;0.0058326998405392756;-0.06657102256542502;0.8975546947906298;0.4772742808947896;-472287.2702504532;-0.0665714110857365;0.6137292070711209;1.0009103675975044;0.0058326998405392756;-0.06657102256542502;1
4115320;KOOTENAY;LIBBY, MT;145;66;-9999;-9999;2.333712688011953;2.23833496093755;-919837.5107548872;-0.49445816732675496;-0.18181436587284064;0.9910425037417409;0.005026235418898518;-0.4944410081312025;3.662240102285417;3.569635109674408;-622181.2675034376;-0.41062585869568347;-0.02389278237959927;0.9962918676563112;0.03341404214228237;-0.41061111844523374;5.593972383747499;5.519993024553514;-364355.84486207884;-0.3498349694948786;0.06208408350567341;1.0048157672732736;0.08530402242013752;-0.3498303556082245;4
4115321;KOOTENAY;NEAR COPELAND, ID;136;61;-9999;-9999;2.333712688011953;2.23833496093755;-919837.5107548872;-0.49445816732675496;-0.18181436587284064;0.9910425037417409;0.005026235418898518;-0.4944410081312025;3.662240102285417;3.569635109674408;-622181.2675034376;-0.41062585869568347;-0.02389278237959927;0.9962918676563112;0.03341404214228237;-0.41061111844523374;5.593972383747499;5.519993024553514;-364355.84486207884;-0.3498349694948786;0.06208408350567341;1.0048157672732736;0.08530402242013752;-0.3498303556082245;4
4115322;KOOTENAY;PORTHILL, ID;135;61;-9999;-9999;2.333712688011953;2.23833496093755;-919837.5107548872;-0.49445816732675496;-0.18181436587284064;0.9910425037417409;0.005026235418898518;-0.4944410081312025;3.662240102285417;3.569635109674408;-622181.2675034376;-0.41062585869568347;-0.02389278237959927;0.9962918676563112;0.03341404214228237;-0.41061111844523374;5.593972383747499;5.519993024553514;-364355.84486207884;-0.3498349694948786;0.06208408350567341;1.0048157672732736;0.08530402242013752;-0.3498303556082245;4
4115331;FLATHEAD;PERMA, MT;155;77;-9999;-9999;0.9414034606699645;0.5699991169376517;-3973115.6418885696;-0.5580545308621037;-0.32747669654119793;0.9968314724167044;0.005650744826524909;-0.5580536670619045;1.547934889174674;1.2949057473315406;-1969537.338784349;-0.3458311049175016;-0.006363405933195908;0.9985775174929983;0.14792016141537018;-0.34582954520241954;2.4407184035338747;2.397685734675747;-537519.6155816395;-0.20223963049533356;0.3129147389425046;1.0012089720940422;0.43539972438349983;-0.20223727467016417;6
4115332;FLATHEAD;NEAR POISON, MT;158;74;-9999;-9999;1.3290083890583708;0.5699991169376517;-9373379.970266648;-0.41421719019803716;-1.4890809005982276e-13;0.9967967123013601;3.734665459420265e-13;-0.4142135623729364;2.2600833473077064;1.9875595826993049;-4204578.301689424;-0.3298768557479093;0.11259374076718658;0.9976602716153143;0.012863075705435087;-0.3298742084078974;3.0105232493308742;2.994993896484516;-537519.6155816395;-0.2063506674675346;0.27884542967848835;0.9993526301278783;0.032938482289406885;-0.20634650632905638;3
